id	notes	melodies	melodiesEffect
113	b;b;b	1;1	0
118	b;b;b	1;1	0
368	b;b;b	1;1	0
371	b;b;b	1;1	0
107	b;b;b	1;1	0
114	b;b;b	1;1	0
119	b;b;b	1;1	0
369	b;b;b	1;1	0
104	b;b;b	1;1	0
295	b;b;b	1;1	0
565	b;b;b	1;1	0
370	b;b;b	1;1	0
111	b;b;b	1;1	0
106	b;b;b	1;1	0
115	b;b;b	1;1	0
372	b;b;b	1;1	0
566	b;b;b	1;1	0
567	b;b;b	1;1	0
312	b;b;b	1;1	0
568	b;b;b	1;1	0
569	b;b;b	1;1	0
109	b;b;b	1;1	0
279	p;r;b2	1;1|1;2;3;1|2;3;2;1|3;3;2|1;3;3;1	0;2;4;23;6
112	b;b;b	1;1	0
110	b;b;b	1;1	0
117	b;b;b	1;1	0
108	b;b;b	1;1	0
458	b;b;b	1;1	0
461	b;b;b	1;1	0
460	b;b;b	1;1	0
456	b;b;b	1;1	0
303	b;b;b	1;1	0
373	b;b;b	1;1	0
457	b;b;b	1;1	0
462	b;b;b	1;1	0
459	b;b;b	1;1	0
120	b;b;b	1;1	0
105	p;g;o2	1;1|1;2;1|2;3;1;3|3;3;2;1	0;10;15;9
116	p;r;g2	1;1|1;2;3;1|1;3;1|3;3;2;1	0;2;10;17
374	b;b;b	1;1	0
396	p;b;y2	1;1|1;3;2|2;2;3;1|1;2;2;1|3;2;1|3;3;3	0;19;24;6;34;30
395	b;b;b	1;1	0
121	p;lb;o2	1;1|2;2;2|2;3;3;1|2;1;3;3|1;3;1;2	0;20;44;29;21
122	p;b;o2	1;1|1;2;2;1|3;2;1;2|1;2;3;3|2;2;3|1;3;2;3	0;6;7;7;24;19
657	p;r;o2	1;1|3;2;3|2;3;2;1|1;3;3;2	0;45;46;2
658	p;g;o2	1;1|1;2;1|2;3;1;3|3;3;2;1	0;10;15;9
659	p;b;o2	1;1|1;2;2;1|3;2;1;2|1;2;3;3|2;2;3|1;3;2;3	0;6;7;7;24;19
